UN.BPT_5CC 25  BHR5,41.167235,-73.181719
UN.BPT_ENER16  BHCC,41.1715,-73.1841
UN.BPT_RESC13.8BPTR,41.163018,-73.208328
LD.BRANCH  34.5,43.365673,-70.558619
LD.BRANCH  12.5,43.3658,-70.5586
UN.BRANFORD23  BRAN,41.2928,-72.7937
LD.BRANFORD23,41.292761,-72.793731
LD.BRANF_RR115,41.284039,-72.85377
LD.BRECKWOD13.8,42.115483,-72.523381
LD.BRENTWOD34.5,42.983679,-71.083817
LD.PEQUONCK13.8,41.172435,-73.184917
LD.BRIDGE_S4.16,42.7645,-71.453833
LD.BRIDGE_S34.5,42.7645,-71.453833
LD.BRIGHTON13.8,42.3573,-71.1318
UN.BRIGHTON13.8MAT1,42.3573,-71.1318
UN.BRIGHTON13.8MAT2,42.3573,-71.1318
LD.BRISTLRI12.5,41.694576,-71.268442
LD.BRISTOL 13.8,41.671226,-72.940231
LD.BRISTOL 4.8,41.671226,-72.940231
LD.BROADWAY13.8,41.314368,-72.933953
LD.BROKENGD34.5,43.23975,-71.512153
LD.BROOKLYN23,41.816754,-71.914692
LD.BROOK_ST23,41.9657,-70.7668
LD.BROWN_CR12.5,44.252946,-69.775017
LD.BUCKSPRT34.5,44.5752,-68.8063
UN.BUCKSPRT18.0BCK4,44.5752,-68.8063
LD.BUCK_PD 115,42.17557,-72.734481
LD.BUDDNGTN33.0,41.373997,-72.045789
UN.BULLSBDG27.6BULL,41.659,-73.4913
LD.BULLSBDG27.6,41.659038,-73.491288
UN.BULL_HL 34.5BLHW,44.722556,-68.163833
UN.BULL_HL 34.5HANW,44.722556,-68.163833
UN.BULL_HL 34.5WEVW,44.722556,-68.163833
LD.BUNKR_HL13.8,41.564016,-73.086446
LD.BURLNGTN13.8,42.475381,-71.214285
LD.BURTT_RD13.2,42.602824,-71.168607
LD.CAMPVILL27.6,41.737776,-73.086151
UN.CANAL   18.0CAN1,41.7697,-70.5097
UN.CANAL   18.0CAN2,41.7697,-70.5097
UN.CANAL   25  CAN3,41.769,-70.51
LD.CANAL_NU23,41.573472,-72.901919
LD.CANDLE  13.2,41.282491,-70.096499
LD.CANTN_BE13.8,42.157025,-71.154901
LD.CANTN_BE115,42.157024,-71.1549
LD.CANTON  23,41.8382,-72.926697
LD.CAPE    34.5,43.642438,-70.255069
UN.CAPE    13.2CAP4,43.6424,-70.2551
UN.CAPE    13.2CAP5,43.6424,-70.2551
LD.CARD    23,41.702382,-72.233552
LD.CARD    69,41.702382,-72.233552
