NAME,LATITUDE,LONGITUDE,NAICS_DESC,OPER_CAP,SUMMER_CAP,WINTER_CAP,GEN_UNITS,LINES
CARL BAILEY,35.25986443,-91.36357991,FOSSIL FUEL ELECTRIC POWER GENERATION,120,122,122,1,1
MCCLELLAN (AR),33.5648,-92.7917,FOSSIL FUEL ELECTRIC POWER GENERATION,136,134,134,1,1
CLINTON POWER STATION,40.17298266,-88.83436994,NUCLEAR ELECTRIC POWER GENERATION,1138.3,1065,1078,1,1
ST JOHNS RIVER POWER PARK,30.43149678,-81.55096638,FOSSIL FUEL ELECTRIC POWER GENERATION,0,0,0,0,1
WOLF CREEK GENERATING STATION,38.23961692,-95.68926604,NUCLEAR ELECTRIC POWER GENERATION,1267.7,1225,1255,1,1
REFUSE & COAL,39.90127915,-83.02432591,BIOMASS ELECTRIC POWER GENERATION,0,0,0,0,0
GREEN LAKE,56.98623403,-135.1226144,HYDROELECTRIC POWER GENERATION,18.6,18.6,18.6,2,0
MSAP 13,42.69885848,-73.67170193,SOLAR ELECTRIC POWER GENERATION,2,2,2,1,0
PRAIRIE RIVER,47.28465132,-93.49985295,HYDROELECTRIC POWER GENERATION,1,0.7,0.7,2,1
JOLIET 29,41.49464,-88.12383,FOSSIL FUEL ELECTRIC POWER GENERATION,1320,1036,1044,2,1
SOLOMON GULCH,61.0828,-146.3033,HYDROELECTRIC POWER GENERATION,12,12,12,2,0
TOK,63.3355319,-142.997769,FOSSIL FUEL ELECTRIC POWER GENERATION,5.3,5.4,5.4,6,0
CRAIG (AK),55.47691,-133.14869,FOSSIL FUEL ELECTRIC POWER GENERATION,4.6,4.6,4.6,4,0
HYDABURG,55.204937,-132.821435,FOSSIL FUEL ELECTRIC POWER GENERATION,1,1,1,3,0
MCWILLIAMS,31.40013245,-86.47432447,FOSSIL FUEL ELECTRIC POWER GENERATION,654,664,751,7,1
ROCKY RIVER (CT),41.5826329,-73.43486017,HYDROELECTRIC POWER GENERATION,31,29.4,29,3,0
BRANFORD,41.29299095,-72.79352351,FOSSIL FUEL ELECTRIC POWER GENERATION,21.8,17.4,22.5,1,1
BULLS BRIDGE,41.65905,-73.49198,HYDROELECTRIC POWER GENERATION,7.2,8.4,8.4,6,0
COS COB,41.0289,-73.5989,FOSSIL FUEL ELECTRIC POWER GENERATION,115,95.6,119.1,5,1
DEVON STATION,41.20914071,-73.10825739,FOSSIL FUEL ELECTRIC POWER GENERATION,222.6,132.5,175.6,5,1
MONTVILLE STATION,41.42773111,-72.10094677,FOSSIL FUEL ELECTRIC POWER GENERATION,495.3,496.4,498.4,4,1
NORTHFIELD MOUNTAIN,42.61294049,-72.45764877,HYDROELECTRIC POWER GENERATION,1168,1168,1168,4,1
NRG NORWALK HARBOR,41.07289512,-73.41111884,NOT AVAILABLE,0,0,0,0,0
SCOTLAND DAM,41.66525374,-72.12158124,HYDROELECTRIC POWER GENERATION,2,1.7,2.2,1,0
SHEPAUG,41.44837967,-73.29528156,FOSSIL FUEL ELECTRIC POWER GENERATION,37.2,41.5,42.6,1,1
